folio,texto,fecha_presentacion,score_presentacion,agenda_presentacion_id,punto_presentacion_id,num_ramas_nivel1,via,expediente_id,punto_destino_id,tipo_evento_real,fecha_real_destino,fecha_evento_excel,status_destino,cierre_encontrado,fecha_cierre_real,fecha_aprobacion_excel,estado_excel,confianza
831,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
832,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
833,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
834,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
835,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
836,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
837,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
838,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
839,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
840,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
