id_iniciativa,ruta_iniciativa,ruta_decreto
197,storage/iniciativas/191-INIC-ACTOS-PRD.docx,
198,storage/iniciativas/192-INIC-DESAR-SOCIAL-PRD.pdf,
199,storage/iniciativas/193-INIC-COD-PROC-CIVILES-PRD.pdf,
200,storage/iniciativas/194-INIC-TECNOLOG-PRD.pdf,
201,storage/iniciativas/195-INIC-JUVENT-PRD.pdf,
202,storage/iniciativas/196-INIC-CONST-PRD.pdf,
203,storage/iniciativas/197-INIC-BIODIV-PRD.pdf,
204,storage/iniciativas/198-INIC-TRABAJO-PRD.pdf,
205,storage/iniciativas/199-INIC-MUJERES-PRD.docx,
206,storage/iniciativas/200-INIC-CONSTITUC-PRD.pdf,
207,storage/iniciativas/201-INIC-CONST-PRD.pdf,
208,storage/iniciativas/202-INIC-CONST-PRD.pdf,
209,storage/iniciativas/203-INIC-COD-PENAL-PRD.pdf,
210,storage/iniciativas/204-INIC-CONSTITUC-PRD.pdf,
211,storage/iniciativas/205-INIC-LOMPAL-PRD.pdf,
212,storage/iniciativas/206-INIC-CONSTITUC-PRD.pdf,
213,storage/iniciativas/207-INIC-FOMENTO-PRD.pdf,
214,storage/iniciativas/208-INIC-CONST-PRD.docx,
216,storage/iniciativas/210-INIC-LOMPAL-PRD.pdf,
217,storage/iniciativas/211-INIC-PIROTECNIA-PRD.pdf,
218,storage/iniciativas/212-INIC-COD-PEN-PRD.pdf,
219,storage/iniciativas/213-INIC-CONST-PRD.pdf,
1111,storage/iniciativas/3-INIC-INMUEBLE-CHALCO-EJEC.pdf,storage/decretos/DECRETO 262.pdf
221,storage/iniciativas/215-INIC-MOVILIDAD-PRD.pdf,
222,storage/iniciativas/216-INIC-COD-PEN-PRD.pdf,
223,storage/iniciativas/217-INIC-NIÑAS-PRD.pdf,
224,storage/iniciativas/218-INIC-COD-ADM-PRD.pdf,
225,storage/iniciativas/219-INIC-MATERNID-PRD.pdf,
226,storage/iniciativas/220-INIC-CONSTIT-PRD.pdf,
227,storage/iniciativas/221-INIC-COD-PENAL-PRD2.pdf,
